"Field name","Label (DE)","Label (EN)","Label (FR)","Description (DE)","Description (EN)","Description (FR)"
"hier = Sortierung nach Reviewed Text / Review (soweit möglich)",,,,,,
"Presented Text",,,,,,
,,,,"Um Ihren Sammelbandeintrag auf recensio.net zu präsentieren, füllen Sie bitte das nachfolgende Formular aus. Die mit * gekennzeichneten Felder sind Pflichtfelder. Bitte beachten Sie, dass eine Präsentation Ihrer Thesen zwar in nahezu allen europäischen Sprachen möglich ist, wir Ihnen jedoch empfehlen, eine der großen Wissenschaftssprachen zu wählen. Sie verleihen Ihrer Präsentation so größtmöglichste Aufmerksamkeit und erhöhen die Wahrscheinlichkeit einer Diskussion Ihrer Thesen.
Sie können alle Angaben zu einem späteren Zeitpunkt verändern oder ergänzen.","Please fill in the following form in order to present your contribution to an edited volume on recensio.net. All fields marked with * are required.
Please keep in mind that you may present your core statements in nearly all European languages but that we would advise you to choose one of the main academic languages. This way your presentation will attract much more attention and discussion of your statements is much more likely.
You can make changes or additions to all data at a later date.","Afin de présenter votre article de recueil sur recensio.net, veuillez remplir le formulaire suivant. Les champs marqué d’un astérisque (*) sont obligatoires. Bien que la présentation de vos thèses puisse être proposée dans toute langue européenne, nous vous conseillons cependant d’utiliser de préférence l’une des langues les plus usitées dans le dialogue scientifique actuel. Vous conférerez ainsi une plus grande visibilité à votre présentation et celle-ci sera plus susceptible d’être commentée. Vous avez également la possibilité d’ajouter ou de modifier des informations ultérieurement."
,,,,"Sind Sie registrierte/r Benutzer/in?*
#nein  #ja","Are you a registered user?
 *  no   yes ","Avez-vous déjà un compte d‘utilisateur ?* 
 non   oui"
"isbn","ISBN","ISBN","ISBN","Schreibweise frei. Bei mehreren Nummern bitte jene der Hardcoverausgabe wählen.","With or without hyphens. In case of several numbers please choose the hard cover edition.","Avec ou sans tiret. En cas de plusieurs ISBNs veuillez choisir celui de l’édition brochée."
,,,,"Ist der von Ihnen präsentierte Aufsatz im Volltext kostenlos online verfügbar?
#nein #ja","Is the article you are presenting available free of charge online?
#no #yes","L'article que vous souhaitez présenter est-il disponible en libre accès (texte intégral et gratuit) ?
#non #oui"
"uri","URL/URN [der präsentierten Schrift]","URL/URN [of presented text]","URL/URN",,,
"PresentedTextAuthorLastname","Nachname [Autor Aufsatz]","Last name [author/article]","Nom","Autor(en) des präsentierten Aufsatzes","author(s) of presented article","Auteur(s) de l'article présenté"
"PresentedTextAuthorFirstname","Vorname [Autor Aufsatz]","First name [author/article]","Prénom","Weiteren Autor hinzufügen","Add another author","Ajouter un auteur"
"languagePresentedText","Sprache (n) des präsentierten Aufsatzes","Language(s) of presented article","Langue(s) de la monographie présentée",,,
"title","Haupttitel","Title","Titre","Angaben zum präsentierten Aufsatz","Information on presented work","Informations sur l’ouvrage présenté"
"subtitle","Untertitel","Subtitle","Sous-titre",,,
"pageStart","Seitenzahl (Beginn) ","Page number (start)","numéro de page (début)",,,
"pageEnd","Seitenzahl (Ende)","Page number (end)","numéro de page (fin)",,,
,"Haupttitel/Untertitel","Title/Subtitle","Titre/Sous-titre","Angaben zum dazu gehörigen Sammelband","Information on the associated edited volume","Informations sur le recueil"
,"Herausgeber","Editor","Directeur de la publication","Weiteren Herausgeber hinzufügen","Add another editor","Ajouter un directeur de publication"
"yearOfPublication","Erscheinungsjahr","Year of publication","Date de publication",,,
"placeOfPublication","Erscheinungsort","Place of publication","Lieu de publication",,,
"publisher","Verlag","Publisher","Éditeur",,,
"series","Reihe","Series","Collection",,,
"seriesVol","Reihennummer","Series (vol.)","Volume",,,
"pages","Seitenzahl","Pages","Nombre de pages",,,
"ddcSubject","Thematische Klassifikation","Subject classification","Thème",,,
"ddcTime","Zeitliche Klassifikation","Time classification","Période",,,
"ddcPlace","Regionale Klassifikation","Regional classification","Espace",,,
"subject","Schlagwörter [Dropdown-Auswahl]","Subject headings","Mots-clés",,,
,"[Schlagwörter, bereits zugeordnet]","[Schlagwörter, bereits zugeordnet]","[Schlagwörter, bereits zugeordnet]","weiteres Schlagwort hinzufügen","add another subject heading","Ajouter un mot-clé"
,,,,,,
"Presentation",,,,,,
"presentation","HTML","HTML","HTML","Kernthesen
Bitte formulieren Sie hier kurz und übersichtlich die von Ihnen erarbeiteten Thesen, Ihre Methodik und/oder Ihre Auseinandersetzung mit bestehenden Forschungsansätzen. Vermeiden Sie dabei bitte bloße Inhaltsangaben und scheuen Sie sich nicht, Ihre Thesen provokant zu formulieren.
Das Einfügen von Absätzen macht Ihre Ausführungen leichter lesbar.
Durch das Kommentieren einer bereits vorhandenen Rezension/Präsentation auf recensio.net erhöhen Sie die für Ihre eigene Präsentation zur Verfügung stehende Zeichenzahl von 3000 auf 5000.
Bitte beachten Sie, dass sowohl Kommentare als auch Präsentationen vor ihrer Publikation durch die Redaktion geprüft werden, um Missbrauch zu verhindern. Dadurch sind die Texte frühestens nach 3 Werktagen öffentlich einsehbar.","Core statements
Please give a brief and clear outline of your thesis statements, your methodology and/or your discussion of existing research approaches. We would kindly ask you to avoid a mere summary of your text. Don’t be shy, however, of wording your statements in a provocative way. By separating out paragraphs you will make your statement more readable. 
You can increase the number of characters available for your own presentation from 3000 to 5000 by commenting on an already existing review/presentation on recensio.net.
Please note that both comments and presentations will be checked by the editorial team before being published in order to prevent misuse. Because of this texts will be availabe online at the earliest after three working days.","Principales thèses développées
Veuillez ici formuler de manière succincte les principales thèses développées dans votre ouvrage, votre méthodologie et/ou votre point de vue sur les approches de recherches actuelles. Veuillez éviter le simple copier/coller de la table des matières et n’ayez pas peur de faire débat.
La présentation de votre texte sous forme de paragraphes vous permettra de rendre votre texte plus lisible.
En commentant une recension/présentation déjà en ligne sur recensio.net, le nombre de caractères attribué à votre présentation personnelle passera de 3000 à 5000 caractères.
Les commentaires et présentations suggérés sur recensio.net sont préalablement filtrés par un modérateur, afin d’éviter tout abus. De ce fait, les textes sont publiés dans un délai minimum de trois jours ouvrés, à partir leur date de soumission sur la plateforme."
