"Field name","Label (DE)","Label (EN)","Label (FR)","Description (DE)","Description (EN)","Description (FR)"
"hier = Reihenfolge wie in Texte_Deutsch.doc (Reihenfolge, wie sie auf der Webpage angezeigt werden soll)",,,,,,
,,,,"Um Ihre Monographie auf recensio.net zu präsentieren, füllen Sie bitte das nachfolgende Formular aus. Die mit * gekennzeichneten Felder sind Pflichtfelder. Bitte beachten Sie, dass eine Präsentation Ihrer Thesen zwar in nahezu allen europäischen Sprachen möglich ist, wir Ihnen jedoch empfehlen, eine der großen Wissenschaftssprachen zu wählen. Sie verleihen Ihrer Präsentation so größtmöglichste Aufmerksamkeit und erhöhen die Wahrscheinlichkeit einer Diskussion Ihrer Thesen.
Sie können alle Angaben zu einem späteren Zeitpunkt verändern oder ergänzen.","Please fill in the following form in order to present your monograph on recensio.net. All fields marked with * are required.
Please keep in mind that you may present your core statements in nearly all European languages but that we would advise you to choose one of the main academic languages. This way your presentation will attract much more attention and discussion of your statements is much more likely.
You can make changes or additions to all data at a later date.","Afin de présenter votre monographie sur recensio.net, veuillez remplir le formulaire suivant. Les champs marqué d’un astérisque (*) sont obligatoires. Bien que la présentation de vos thèses puisse être proposée dans toute langue européenne, nous vous conseillons cependant d’utiliser de préférence l’une des langues les plus usitées dans le dialogue scientifique actuel. Vous conférerez ainsi une plus grande visibilité à votre présentation et celle-ci sera plus susceptible d’être commentée. Vous avez également la possibilité d’ajouter ou de modifier des informations ultérieurement."
,,,,"Sind Sie registrierte/r Benutzer/in?*
#nein  #ja","Are you a registered user? *  no   yes ","Avez-vous déjà un compte d‘utilisateur ?*  non   oui"
"isbn","ISBN","ISBN","ISBN","Schreibweise frei. Bei mehreren Nummern bitte jene der Hardcoverausgabe wählen.","With or without hyphens. In case of several numbers please choose the hard cover edition.","Avec ou sans tiret. En cas de plusieurs ISBNs veuillez choisir celui de l’édition grand format."
,,,,"Ist die von Ihnen präsentierte Schrift im Volltext kostenlos online verfügbar?
#nein #ja","Is the monograph you are presenting available free of charge online?
#no #yes","La monographie que vous souhaitez présenter est-elle disponible en libre accès (texte intégral et gratuit) ?
#non #oui"
"uri","URL/URN [der präsentierten Schrift]","URL/URN [of presented text]","URL/URN",,,
"presentation","HTML","HTML","HTML","Kernthesen
Bitte formulieren Sie hier kurz und übersichtlich die von Ihnen erarbeiteten Thesen, Ihre Methodik und/oder Ihre Auseinandersetzung mit bestehenden Forschungsansätzen. Vermeiden Sie dabei bitte bloße Inhaltsangaben und scheuen Sie sich nicht, Ihre Thesen provokant zu formulieren.
Das Einfügen von Absätzen macht Ihre Ausführungen leichter lesbar.
Durch das Kommentieren einer bereits vorhandenen Rezension/Präsentation auf recensio.net erhöhen Sie die für Ihre eigene Präsentation zur Verfügung stehende Zeichenzahl von 4000 auf 6000.
Bitte beachten Sie, dass sowohl Kommentare als auch Präsentationen vor ihrer Publikation durch die Redaktion geprüft werden, um Missbrauch zu verhindern. Dadurch sind die Texte frühestens nach 3 Werktagen öffentlich einsehbar.","Core statements
Please give a brief and clear outline of your thesis statements, your methodology and/or your discussion of existing research approaches. We would kindly ask you to avoid a mere summary of your text. Don’t be shy, however, of wording your statements in a provocative way. By separating out paragraphs you will make your statement more readable. 
You can increase the number of characters available for your own presentation from 4000 to 6000 by commenting on an already existing review/presentation on recensio.net.
Please note that both comments and presentations will be checked by the editorial team before being published in order to prevent misuse. Because of this texts will be availabe online at the earliest after three working days.","Principales thèses développées
Veuillez ici formuler de manière succincte les principales thèses développées dans votre ouvrage, votre méthodologie et/ou votre point de vue sur les approches de recherches actuelles. Veuillez éviter le simple copier/coller de la table des matières et n’ayez pas peur de faire débat.
La présentation de votre texte sous forme de paragraphes vous permettra de rendre votre texte plus lisible.
En commentant une recension/présentation déjà en ligne sur recensio.net, le nombre de caractères attribué à votre présentation personnelle passera de 4000 à 6000 caractères.
Les commentaires et présentations suggérés sur recensio.net sont préalablement filtrés par un modérateur, afin d’éviter tout abus. De ce fait, les textes sont publiés dans un délai minimum de trois jours ouvrés, à partir leur date de soumission sur la plateforme."
"existingOnlineReviews","Name der Zeitschrift/Zeitung/Jahrbuch","name of journal/newspaper/yearbook","Nom de la revue/journal/annuaire ","Bestehen bereits online verfügbare Rezensionen über Ihr Werk?","Are there reviews on your text which are already available online?","Des recensions de votre ouvrage sont-elles disponibles en ligne ?"
"publishedReviews","URL/URN [der online verfügbaren Rezension]","URL/URN [of online existing review]","URL/URN","Weitere Online-Rezension hinzufügen","Add another online review","Ajouter une recension"
,"Name der Zeitschrift/Zeitung/Jahrbuch mit Band, Jahr und Seitenangaben","name of journal/newspaper/yearbook with volume, year and number of pages","Nom de la revue/journal/annuaire, volume, année et nombre de pages","Tragen Sie hier den Erscheinungsort evtl. bereits gedruckt vorhandener Rezensionen Ihres Werks ein.","Insert here the place of publication of reviews on your text that have already been published in print.","Veuillez insérer le lieu de publication d’éventuelles recensions de vos travaux, publiées en version papier."
