"Field name","Label (DE)","Label (EN)","Label (FR)","Description (DE)","Description (EN)","Description (FR)"
"Reviewed Text",,,,,,
"issn","ISSN","ISSN","ISSN","Schreibweise frei.","With or without hyphens.","Avec ou sans tiret."
"languageReviewedText","Textsprache (der rezensierten Schrift)","Language (text)","langue (de la revue)",,,
"editor","Herausgeber (Name oder Institution)","Editor (name or institution)","directeur de publication (nom ou institution)",,,
"titleJournal","Titel Zeitschrift (Haupt- und Untertitel)","Title (journal) (main and subtitle)","titre et sous-titre de la revue",,,
,"Kürzel Zeitschrift","Shortname Journal","titre courant"," "," ",
"yearOfPublication","Erscheinungsjahr","Actual year of publication","date rélle de publication",,,
"officialYearOfPublication","Gezähltes Jahr","Official year of publication","date officielle de publication",,,
"volumeNumber","Nummer","Vol.","volume",,,
"issueNumber","Heftnummer","Number","numéro",,,
"placeOfPublication","Erscheinungsort","Place of publication","lieu de publication",,,
"publisher","Verlag","Publisher","maison d'´édition",,,
"coverPicture","Coverbild","Cover picture","couverture",,,
"ddcSubject","ddc sach","ddc subject","sujet (dewey)",,,
"ddcTime","ddc zeit","ddc time","époque (dewey)",,,
"ddcPlace","ddc raum","ddc place","espace (dewey)",,,
"subject","Schlagwörter","Subject heading","mots-clés",,,
,,,,,,
,,,,,,
"Review",,,,,,
"reviewAuthorLastname","Nachname Autor (Rezension)","Last name author (review)","nom de l'auteur (de la recension)",,,
"reviewAuthorFirstname","Vorname Autor (Rezension)","First name author (review)","prénom de l'auteur (de la recension)",,,
"languageReview","Textsprache (Rezension)","Language (review)","langue (de la recension)",,,
"pdf","PDF","PDF","PDF"," "," ",
"pageStart","Seitenzahl Beginn ","Page number (start)","numéro de page (début)","Bitte nur ausfüllen, wenn die Rezension Teil einer größere PDF-Datei ist","Please fill in only if the review is part of a larger pdf-file","Uniquement si la recension est incluse dans un plus gros fichier pdf. "
"pageEnd","Seitenzahl Ende","Page number (end)","numéro de page (fin)",,,
"doc","Doc","Word Document","Doc"," "," ",
"review","HTML","HTML","HTML"," ",,
"customCitation","Optionales Zitierschema","Optional citation format","format de citation (optionel)","Bitte nur ausfüllen, wenn Sie ein von der Plattform-Zitierweise abweichendes Schema wünschen","Please fill in only if you wish to use a citation format different from the platform’s",
"uri","Partner-URL","Partner URL","URL correspondante","Bitte nur nach Absprache ausfüllen (m Normalfall freilassen)","Please fill in only after consultation with the recensio.net team","Uniquement après l’accord de la rédaction de recensio.net"
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,"   ",,,,
