"Field name","Label (DE)","Label (EN)","Label (FR)","notes","Description (DE)","Description (EN)","Description (FR)"
"Reviewed Text",,,,,,,
"isbn","ISBN","ISBN","ISBN",,"Schreibweise frei. Bei mehreren Nummern bitte jene der Hardcoverausgabe wählen.","With or without hyphens. In case of several numbers please choose the hard cover edition.","Avec ou sans tiret. En cas de plusieurs ISBNs veuillez choisir celui de l’édition grand format."
"languageReviewedText","Textsprache (der rezensierten Schrift)","Language (monograph)","langue (de la monographie)",,,,
,"Autor (Monographie)","Author (monograph)",,"Combined via datagridfield",,,
,,,,,,,
"ReviewedTextAuthorLastname","Nachname Autor (Mon.)","Last name author (monograph)","nom de l'auteur (monographie)",,"weitere hinzufügen","add another author","ajouter un auteur"
"ReviewedTextAuthorFirstname","Vorname Autor (Mon.)","First name author (monograph)","prénom de l'auteur (monographie)",,,,
"title","Titel","Title","titre",,,,
"subtitle","Untertitel","Subtitle","sous-titre",,,,
"yearOfPublication","Erscheinungsjahr","Year of publication","année de publication",,,,
"placeOfPublication","Erscheinungsort","Place of publication","lieu de publication",,,,
"publisher","Verlag","Publisher","maison d'édition",,,,
"series","Reihe","Series","collection",,,,
"seriesVol","Reihennummer","Series (vol.)","volume",,,,
"pages","Seitenzahl","Pages","nombre de pages",,,,
"coverPicture","Coverbild","Cover picture","couverture",,,,
"ddcSubject","ddc sach","ddc subject","sujet (dewey)",,,,
"ddcTime","ddc zeit","ddc time","époque (dewey)",,,,
"ddcPlace","ddc raum","ddc place","espace (dewey)",,,,
"subject","Schlagwörter","Subject heading","mots-clés",,,,
,,,,,,,
,,,,,,,
,,,,,,,
"Review",,,,,,,
"reviewAuthorLastname","Nachname Autor (Rez.)","Last name author (review)","nom de l'auteur (de la recension)","Within the “Review tab”",,,
"reviewAuthorFirstname","Vorname Autor (Rez.)","First name author (review)","prénom de l'auteur (de la recension)",,,,
"languageReview","Textsprache (Rezension)","Language (review)","langue (de la recension)",,,,
"pdf","PDF","PDF","PDF",," "," ",
"pageStart","Seitenzahl Beginn ","Page number (start)","numéro de page (début)",,"Bitte nur ausfüllen, wenn die Rezension Teil einer größere PDF-Datei ist","Please fill in only if the review is part of a larger pdf-file","Uniquement si la recension est incluse dans un plus gros fichier pdf. "
"pageEnd","Seitenzahl Ende","Page number (end)","numéro de page (fin)",,,,
"doc","Doc","Word Document","Doc",," "," ",
"review","HTML","HTML","HTML",," ",,
"customCitation","Optionales Zitierschema","Optional citation format","format de citation (optionel)",,"Bitte nur ausfüllen, wenn Sie ein von der Plattform-Zitierweise abweichendes Schema wünschen","Please fill in only if you wish to use a citation format different from the platform’s",
"uri","Partner-URL","Partner URL","URL correspondante",,"Bitte nur nach Absprache ausfüllen (m Normalfall freilassen)","Please fill in only after consultation with the recensio.net team","Uniquement après l’accord de la rédaction de recensio.net"
,,,,,,,
"k",,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
"Correct",,,,,,,
"Slightly different",,,,,,,
"Not used",,,,,,,
"Needed",,,,,,,
